for_profit_hotel_id,address_number,address_street,block_lot,cofu_residential,cofu_tourist,reported_residential,reported_tourist,vacant_residential,vacant_tourist,total_reported_hotel_units,auur_filing_received,aaur_sufficient
345,809,STOCKTON ST,0224 005 01,24,0,24,0,0,0,24,Yes,Yes
346,856,STOCKTON ST,0225 017 01,58,0,56,0,2,0,58,Yes,Yes
347,1017,STOCKTON ST,0192 003 01,14,0,11,0,3,0,14,Yes,Yes
348,1064,STOCKTON ST,0193 022 01,12,0,12,0,0,0,12,Yes,No
349,1137,STOCKTON ST,0179 042 01,23,0,22,0,1,0,23,Yes,Yes
350,1316,STOCKTON ST,0146 012 01,28,0,27,0,1,0,28,Yes,No
351,1323,STOCKTON ST,0147 004 01,20,0,20,0,0,0,20,Yes,Yes
352,1331,STOCKTON ST,0147 003 01,182,0,167,0,15,0,182,Yes,Yes
353,1334,STOCKTON ST,0146 015 01,79,0,79,0,0,0,79,Yes,No
354,1350,STOCKTON ST,0146 016 01,98,0,97,0,1,0,98,Yes,Yes
355,1351,STOCKTON ST,0147 002 01,54,0,57,0,0,0,57,Yes,No
356,1411,STOCKTON ST,0130 009 01,55,0,42,0,13,0,55,Yes,Yes
357,325,SUTTER ST,0294 021 01,69,10,33,8,53,2,96,Yes,Yes
358,717,SUTTER ST,0298 034 01,19,16,35,0,0,0,35,Yes,Yes
359,766,SUTTER ST,0282 007 01,6,0,6,0,0,0,6,Yes,Yes
360,860,SUTTER ST,0281 006 01,50,39,50,39,0,0,89,Yes,No
361,952,SUTTER ST,0280 011 01,10,0,NA,NA,NA,NA,NA,No,No
362,972,SUTTER ST,0280 012 01,19,11,18,10,1,1,30,Yes,Yes
363,1e3,SUTTER ST,0279 005 01,232,0,191,0,41,0,232,Yes,No
364,1114,SUTTER ST,0669 006 01,7,0,7,0,0,0,7,Yes,No
365,1499,SUTTER ST,0689 012 01,194,0,138,0,56,0,194,Yes,No
366,1570,SUTTER ST,0673 007 01,75,0,NA,NA,NA,NA,NA,Yes,No
367,30,SYCAMORE ST,3576 066 01,24,0,31,0,0,0,31,Yes,No
368,118,TAYLOR ST,0340 012 01,38,25,14,0,24,25,63,Yes,No
369,162,TAYLOR ST,0340 015 01,27,2,20,2,7,0,27,Yes,Yes
370,615,TAYLOR ST,0298 005,17,17,9,3,8,14,34,Yes,Yes
371,735,TAYLOR ST,0282 003 01,63,0,57,0,6,0,63,Yes,Yes
372,749,TAYLOR ST,0282 002 01,14,22,10,12,4,10,36,Yes,Yes
373,50,TURK ST,0340 008,12,4,11,1,1,0,16,Yes,No
374,74,TURK ST,0340 010 01,50,2,47,1,3,1,52,Yes,Yes
375,140,TURK ST,0339 007 01,25,7,22,0,3,7,32,Yes,No
376,166,TURK ST,0339 009 01,8,9,10,2,0,5,17,Yes,Yes
377,270,TURK ST,0338 010 01,16,0,16,0,0,0,16,Yes,Yes
378,275,TURK ST,0344 007 01,7,0,8,0,0,0,8,Yes,No
379,467,TURK ST,0346 013 01,93,0,NA,NA,NA,NA,NA,No,No
380,835,TURK ST,0761 016A 01,114,0,114,0,0,0,114,Yes,Yes
381,615,UNION ST,0117 001 01,66,0,43,0,3,0,46,Yes,No
382,1510,UNION ST,0527 009 01,13,0,13,0,0,0,13,Yes,No
383,2186,UNION ST,0533 019 01,12,0,12,0,0,0,12,Yes,Yes
384,1312,UTAH ST,4264 001 01,16,0,16,0,1,0,17,Yes,Yes
385,447,VALENCIA ST,3554 057 01,42,30,42,23,0,7,72,Yes,Yes
386,528,VALENCIA ST,3568 003 01,49,0,16,0,35,0,51,Yes,Yes
